
2024/01/04 (19:21:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:22:55) | ===> btop++ v.1.2.13
2024/01/04 (19:22:55) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:23:24) | ===> btop++ v.1.2.13
2024/01/04 (19:23:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/04 (19:24:06) | ===> btop++ v.1.2.13
2024/01/04 (19:24:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (09:58:51) | ===> btop++ v.1.2.13
2024/01/05 (09:58:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (10:03:41) | ===> btop++ v.1.2.13
2024/01/05 (10:03:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (10:56:40) | ===> btop++ v.1.2.13
2024/01/05 (10:56:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/05 (12:19:51) | ===> btop++ v.1.2.13
2024/01/05 (12:19:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/22 (14:05:56) | ===> btop++ v.1.3.0
2024/01/22 (14:05:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/22 (14:06:24) | ===> btop++ v.1.3.0
2024/01/22 (14:06:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (13:14:47) | ===> btop++ v.1.3.0
2024/01/24 (13:14:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (14:33:07) | ===> btop++ v.1.3.0
2024/01/24 (14:33:07) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/24 (14:34:13) | ===> btop++ v.1.3.0
2024/01/24 (14:34:13) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/01/26 (17:37:49) | ===> btop++ v.1.3.0
2024/01/26 (17:37:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/05 (01:45:22) | ===> btop++ v.1.3.0
2024/02/05 (01:45:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/05 (01:45:35) | ===> btop++ v.1.3.0
2024/02/05 (01:45:35) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/05 (03:08:00) | ===> btop++ v.1.3.0
2024/02/05 (03:08:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/05 (14:17:53) | ===> btop++ v.1.3.0
2024/02/05 (14:17:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/05 (15:30:45) | ===> btop++ v.1.3.0
2024/02/05 (15:30:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/09 (10:04:53) | ===> btop++ v.1.3.0
2024/02/09 (10:04:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/09 (10:05:40) | ===> btop++ v.1.3.0
2024/02/09 (10:05:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/09 (10:37:47) | ===> btop++ v.1.3.0
2024/02/09 (10:37:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/09 (10:37:55) | ===> btop++ v.1.3.0
2024/02/09 (10:37:55) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/12 (22:12:49) | ===> btop++ v.1.3.1
2024/02/12 (22:12:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/17 (19:02:23) | ===> btop++ v.1.3.2
2024/02/17 (19:02:23) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/18 (22:15:34) | ===> btop++ v.1.3.2
2024/02/18 (22:15:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/20 (07:47:28) | ===> btop++ v.1.3.2
2024/02/20 (07:47:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/20 (14:44:59) | ===> btop++ v.1.3.2
2024/02/20 (14:44:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/20 (14:46:43) | ===> btop++ v.1.3.2
2024/02/20 (14:46:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/21 (15:42:43) | ===> btop++ v.1.3.2
2024/02/21 (15:42:43) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/21 (15:54:38) | ===> btop++ v.1.3.2
2024/02/21 (15:54:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/23 (22:07:06) | ===> btop++ v.1.3.2
2024/02/23 (22:07:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/23 (22:07:54) | ===> btop++ v.1.3.2
2024/02/23 (22:07:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/23 (22:55:24) | ===> btop++ v.1.3.2
2024/02/23 (22:55:24) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/02/26 (08:56:17) | ===> btop++ v.1.3.2
2024/02/26 (08:56:17) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/03/05 (13:37:49) | ===> btop++ v.1.3.2
2024/03/05 (13:37:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/03/07 (09:19:36) | ===> btop++ v.1.3.2
2024/03/07 (09:19:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/03/07 (09:22:58) | ===> btop++ v.1.3.2
2024/03/07 (09:22:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/03/07 (09:23:59) | ===> btop++ v.1.3.2
2024/03/07 (09:23:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
